Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed,Slaughtered,Deaths
2009,Jan-Jun 2009,Europe,Italy,Emilia-Romagna,Low pathogenic avian influenza (poultry) (2006-2021),H7N3;not typed,Domestic,Birds,-,-,-,11606,Animal,21,11606,0,0
2009,Jan-Jun 2009,Europe,Italy,Piemonte,Low pathogenic avian influenza (poultry) (2006-2021),H7N3;not typed,Domestic,Birds,-,-,-,25471,Animal,105,25471,0,0
2009,Jan-Jun 2009,Europe,Italy,Umbria,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,19328,Animal,0,0,0,0
2009,Jul-Dec 2009,Americas,United States of America,Kentucky,Low pathogenic avian influenza (poultry) (2006-2021),H7N9,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2009,Jul-Dec 2009,Americas,United States of America,Minnesota,Low pathogenic avian influenza (poultry) (2006-2021),H7N9,Domestic,Birds,-,-,-,160000,Animal,0,0,160000,0
2009,Jul-Dec 2009,Europe,Italy,Basilicata,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,40,Animal,2,40,0,0
2009,Jul-Dec 2009,Europe,Italy,Campania,Low pathogenic avian influenza (poultry) (2006-2021),H7N1;not typed,Domestic,Birds,-,-,-,336,Animal,24,336,0,3
2009,Jul-Dec 2009,Europe,Italy,Emilia-Romagna,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,7900,Animal,10,7900,0,0
2009,Jul-Dec 2009,Europe,Italy,Lazio,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,879,Animal,8,879,0,0
2009,Jul-Dec 2009,Europe,Italy,Marche,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,1280,Animal,2,1280,0,0
2009,Jul-Dec 2009,Europe,Italy,Piemonte,Low pathogenic avian influenza (poultry) (2006-2021),H5N1;H7N1,Wild,American Mink,-,-,-,5569,Animal,46,4230,0,0
2009,Jul-Dec 2009,Europe,Italy,Toscana,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,42,Animal,1,18,0,0
2009,Jul-Dec 2009,Europe,Italy,Veneto,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Wild,American Mink,-,-,-,1000,Animal,4,1000,0,0
2009,Jul-Dec 2009,Europe,Spain,Castilla-La Mancha,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N7,Domestic,Birds,-,-,-,308640,Animal,30000,278640,0,30000
2010,Jan-Jun 2010,Asia,Korea (Rep. of),Jeollabuk-Do,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,23700,Animal,950,0,0,70
2010,Jan-Jun 2010,Asia,Korea (Rep. of),Jeollanam-Do,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,177541,Animal,15,84630,0,0
2010,Jan-Jun 2010,Europe,Denmark,East,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,3959,Animal,0,3959,0,0
2010,Jan-Jun 2010,Europe,Italy,Lombardia,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,6196,Animal,10,6196,0,0
2010,Jan-Jun 2010,Europe,Netherlands,Noord-Brabant,Low pathogenic avian influenza (poultry) (2006-2021),H7N4,Domestic,Birds,-,-,-,28000,Animal,0,28000,0,0
2010,Jan-Jun 2010,Europe,Spain,Castilla-La Mancha,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N7,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2010,Jul-Dec 2010,Asia,Korea (Rep. of),Chungcheongnam-Do (2005-2013),Low pathogenic avian influenza (poultry) (2006-2021),H7N2,Domestic,Birds,-,-,-,110,Animal,1,110,0,0
2010,Jul-Dec 2010,Asia,Korea (Rep. of),Chungcheongnam-Do (2005-2013),Low pathogenic avian influenza (poultry) (2006-2021),H7N7;other,Domestic,Birds,-,-,-,17000,Animal,160,0,0,0
2010,Jul-Dec 2010,Asia,Korea (Rep. of),Jeollabuk-Do,Low pathogenic avian influenza (poultry) (2006-2021),H7N2,Domestic,Birds,-,-,-,50000,Animal,6,50000,0,0
2010,Jul-Dec 2010,Asia,Korea (Rep. of),Jeollanam-Do,Low pathogenic avian influenza (poultry) (2006-2021),H7N6;other,Domestic,Birds,-,-,-,30000,Animal,2,0,0,0
2010,Jul-Dec 2010,Europe,Italy,Lombardia,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,1345,Animal,1345,1345,0,0
2011,Jan-Jun 2011,Americas,United States of America,Minnesota,Low pathogenic avian influenza (poultry) (2006-2021),H7N9,Domestic,Birds,-,-,-,5500,Animal,0,0,3000,0
2011,Jan-Jun 2011,Americas,United States of America,Missouri,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,29000,Animal,0,15000,14000,0
2011,Jan-Jun 2011,Asia,Chinese Taipei,Chia-I (2005-2012),Low pathogenic avian influenza (poultry) (2006-2021),H5N2;H7N3,Domestic,Birds,-,-,-,2820,Animal,41,0,0,0
2011,Jan-Jun 2011,Europe,Germany,Baden-Wurttemberg,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,2182,Animal,249,2182,0,0
2011,Jan-Jun 2011,Europe,Germany,Bayern,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,468,Animal,4,468,0,0
2011,Jan-Jun 2011,Europe,Germany,Nordrhein-Westfalen,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,105301,Animal,4057,105301,0,0
2011,Jan-Jun 2011,Europe,Germany,Sachsen,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,2176,Animal,26,2152,0,7
2011,Jan-Jun 2011,Europe,Italy,Basilicata,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,235,Animal,7,235,0,0
2011,Jan-Jun 2011,Europe,Italy,Campania,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,5000,Animal,2,4998,0,2
2011,Jan-Jun 2011,Europe,Italy,Lombardia,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,742,Animal,1,742,0,0
2011,Jan-Jun 2011,Europe,Italy,Piemonte,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,1250,Animal,5,1250,0,0
2011,Jan-Jun 2011,Europe,Italy,Umbria,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,19200,Animal,35,19200,0,33
2011,Jan-Jun 2011,Europe,Netherlands,Flevoland,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,54000,Animal,0,54000,0,0
2011,Jan-Jun 2011,Europe,Netherlands,Gelderland,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,8800,Animal,12,8788,0,1
2011,Jan-Jun 2011,Europe,Netherlands,Zeeland,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,127500,Animal,10,127490,0,0
2011,Jul-Dec 2011,Africa,South Africa,Western Cape Province,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N2;H7N1,Domestic,Birds,-,-,-,12278,Animal,1028,0,0,0
2011,Jul-Dec 2011,Africa,South Africa,Western Cape Province,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,1181,17645,1,12278,Animal,1028,0,0,0
2011,Jul-Dec 2011,Americas,United States of America,Minnesota,Low pathogenic avian influenza (poultry) (2006-2021),H7N9,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2011,Jul-Dec 2011,Europe,Germany,Baden-Wurttemberg,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2011,Jul-Dec 2011,Europe,Germany,Bayern,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2011,Jul-Dec 2011,Europe,Germany,Niedersachsen,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,190,Animal,1,190,0,0
2011,Jul-Dec 2011,Europe,Germany,Nordrhein-Westfalen,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2011,Jul-Dec 2011,Europe,Germany,Sachsen,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,40,Animal,5,0,0,0
2011,Jul-Dec 2011,Europe,Italy,Basilicata,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,438,Animal,27,438,0,0
2011,Jul-Dec 2011,Europe,Italy,Calabria,Low pathogenic avian influenza (poultry) (2006-2021),H5;H7,Domestic,Birds,-,-,-,330,Animal,7,180,0,0
2011,Jul-Dec 2011,Europe,Italy,Campania,Low pathogenic avian influenza (poultry) (2006-2021),H5;H5N2;H7,Domestic,Birds,-,-,-,5397,Animal,18,5397,0,2
2011,Jul-Dec 2011,Europe,Italy,Emilia-Romagna,Low pathogenic avian influenza (poultry) (2006-2021),H5;H7,Domestic,Birds,-,-,-,1808,Animal,13,1808,0,0
2011,Jul-Dec 2011,Europe,Italy,Umbria,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,19200,Animal,35,19200,0,33
2011,Jul-Dec 2011,Europe,Italy,Veneto,Low pathogenic avian influenza (poultry) (2006-2021),H7,Domestic,Birds,-,-,-,1117,Animal,13,1117,0,0
2011,Jul-Dec 2011,Europe,Netherlands,Flevoland,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2011,Jul-Dec 2011,Europe,Netherlands,Gelderland,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2012,Jan-Jun 2012,Africa,South Africa,Eastern Cape Province,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,2643,Animal,98,0,2633,10
2012,Jan-Jun 2012,Africa,South Africa,Western Cape Province,Low pathogenic avian influenza (poultry) (2006-2021),H5N2;H7N1,Domestic,Birds,-,-,-,2989,Animal,728,0,2747,1
